Local Authority District Name,County and Unitary Authority Name,Operational Data Centre Capacity (MVA),Pipeline Data Centre Capacity (MVA)
Barking and Dagenham,Barking and Dagenham,81.0,
Basildon,Essex,,120.0
Bedford,Bedford,,164.4
Bexley,Bexley,7.5,
Brent,Brent,17.5,460.0
Bromley,Bromley,,50.0
Broxbourne,Hertfordshire,150.0,10.4
Buckinghamshire,Buckinghamshire,10.0,500.0
Camden,Camden,6.4,
Central Bedfordshire,Central Bedfordshire,,670.0
Crawley,West Sussex,73.0,
Dacorum,Hertfordshire,121.11,5.0
Dartford,Kent,,399.0
Ealing,Ealing,29.9,75.0
East Cambridgeshire,Cambridgeshire,5.033,544.0
East Hertfordshire,Hertfordshire,,50.0
Enfield,Enfield,33.0,510.0
Epping Forest,Essex,,315.0
Greenwich,Greenwich,,182.0
Hackney,Hackney,6.1,
Harlow,Essex,43.5,168.2
Havering,Havering,28.0,900.0
Hertsmere,Hertfordshire,,10.0
Hillingdon,Hillingdon,,12.0
Hounslow,Hounslow,5.0,
Islington,Islington,23.6,
Kingston upon Thames,Kingston upon Thames,,50.0
Lewisham,Lewisham,12.0,
Newham,Newham,,580.0
Peterborough,Peterborough,7.66,
Reigate and Banstead,Surrey,21.5,
Runnymede,Surrey,90.0,
South Cambridgeshire,Cambridgeshire,,19.0
Spelthorne,Surrey,,150.0
St Albans,Hertfordshire,,200.0
Stevenage,Hertfordshire,,105.0
Sutton,Sutton,30.6,
Three Rivers,Hertfordshire,,180.0
Thurrock,Thurrock,8.0,250.0
Tonbridge and Malling,Kent,5.6,
Tower Hamlets,Tower Hamlets,214.49,495.0
Uttlesford,Essex,,80.0
Watford,Hertfordshire,,9.8
Welwyn Hatfield,Hertfordshire,93.0,67.5
Woking,Surrey,60.8,55.0
