month,Extra-High Voltage Import,High Voltage Import,Low Voltage Import
2023-01,0.11348553,0.26315993,0.21600935
2023-02,0.11677721,0.26214072,0.21332557
2023-03,0.13528812,0.2574609,0.21453941
2023-04,0.14377975,0.2533403,0.20471025
2023-05,0.15597057,0.2556569,0.20744403
2023-06,0.15750512,0.26544628,0.21737295
2023-07,0.14728981,0.2626045,0.21298721
2023-08,0.14788438,0.25871882,0.21169347
2023-09,0.11888748,0.25962448,0.21259484
2023-10,0.111559935,0.25308108,0.20800152
2023-11,0.10545369,0.23724128,0.20677742
2023-12,0.105704926,0.23885925,0.20159863
2024-01,0.10571949,0.24126855,0.20511375
2024-02,0.108803704,0.24196033,0.20448469
2024-03,0.10389686,0.23846659,0.1978494
2024-04,0.10390653,0.23798932,0.1855855
2024-05,0.10567734,0.24274096,0.16888273
2024-06,0.107413754,0.24448638,0.15609382
2024-07,0.11518174,0.2476266,0.15898797
2024-08,0.11119539,0.2481861,0.16083345
2024-09,0.11222624,0.24398355,0.16089228
2024-10,0.10768331,0.23945333,0.15675665
2024-11,0.11490457,0.2404279,0.14625567
2024-12,0.11011591,0.2391921,0.147729
2025-01,0.118183054,0.24120949,0.15314136
2025-02,0.113017336,0.24347498,0.15420857
2025-03,0.11215682,0.24074943,0.14757995
2025-04,0.11209399,0.24310583,0.14503074
2025-05,0.11434553,0.246101,0.14685945
2025-06,0.11800118,0.25212434,0.14903106
2025-07,0.12339851,0.24885897,0.1840024
2025-08,0.119893394,0.25264332,0.16005923
2025-09,0.119120136,0.24576594,0.15742534
2025-10,0.123170875,0.23982586,0.16116725
2025-11,0.13125803,0.24152294,0.1663477
2025-12,0.106007256,0.22872926,0.17910714
2026-01,0.13165817,0.22836356,0.18521126
2026-02,0.1541466,0.22953282,0.1841399
2026-03,0.14161727,0.22975397,0.1741754
2026-04,0.13761367,0.23341271,0.16752389
2026-05,0.13459106,0.22653694,0.16429317
