site_month_idx,mean,median,count
0,0.0,0.0,2308
1,0.012863249,0.0,4368
2,0.026748894,0.0,4464
3,0.03736603,0.032777738,4320
4,0.038201645,0.023914449,4272
5,0.03451132,0.01465865,4416
6,0.031550124,0.012727273,4368
7,0.022917712,0.011059568,4416
8,0.022903701,0.012196735,4368
9,0.022070244,0.0054545454,4320
10,0.019768272,0.0,4416
11,0.04066609,0.0072727273,4368
12,0.04240816,0.0072727273,4416
13,0.06285883,0.06162411,4368
14,0.44167566,0.12821664,3168
15,0.058865502,0.0,2832
16,0.050847344,0.0,2736
17,0.023542583,0.0,2878
18,0.010988842,0.0,1872
19,0.0,0.0,1488
20,0.0,0.0,1488
21,0.0,0.0,1344
22,0.0,0.0,1296
23,0.0,0.0,1390
