anonymised_data_centre_name,first_month,last_month,voltage
Data Centre #1,2023-01,2026-05,Extra-High Voltage Import
Data Centre #10,2023-01,2026-05,High Voltage Import
Data Centre #11,2023-01,2026-05,High Voltage Import
Data Centre #12,2023-01,2026-05,High Voltage Import
Data Centre #13,2023-01,2026-05,High Voltage Import
Data Centre #14,2023-01,2026-05,Extra-High Voltage Import
Data Centre #15,2023-01,2026-05,Extra-High Voltage Import
Data Centre #16,2023-01,2026-05,High Voltage Import
Data Centre #17,2023-01,2026-05,High Voltage Import
Data Centre #18,2023-01,2026-05,High Voltage Import
Data Centre #19,2023-01,2026-05,High Voltage Import
Data Centre #2,2023-01,2026-05,Extra-High Voltage Import
Data Centre #20,2023-01,2026-05,High Voltage Import
Data Centre #21,2023-01,2026-05,High Voltage Import
Data Centre #22,2023-01,2026-05,High Voltage Import
Data Centre #23,2023-01,2026-05,Extra-High Voltage Import
Data Centre #24,2023-01,2026-05,High Voltage Import
Data Centre #25,2023-01,2026-05,High Voltage Import
Data Centre #26,2023-01,2026-05,High Voltage Import
Data Centre #27,2023-01,2026-05,High Voltage Import
Data Centre #28,2023-01,2026-05,High Voltage Import
Data Centre #29,2023-01,2026-05,High Voltage Import
Data Centre #3,2023-01,2026-05,Extra-High Voltage Import
Data Centre #30,2023-01,2026-05,High Voltage Import
Data Centre #31,2023-03,2026-05,High Voltage Import
Data Centre #32,2023-01,2026-05,Extra-High Voltage Import
Data Centre #33,2023-01,2026-05,High Voltage Import
Data Centre #34,2023-01,2026-05,High Voltage Import
Data Centre #35,2023-01,2026-05,High Voltage Import
Data Centre #36,2023-01,2026-05,High Voltage Import
Data Centre #37,2023-04,2026-05,High Voltage Import
Data Centre #38,2023-01,2026-05,High Voltage Import
Data Centre #39,2023-01,2026-05,High Voltage Import
Data Centre #4,2023-01,2026-05,High Voltage Import
Data Centre #40,2023-01,2026-05,High Voltage Import
Data Centre #41,2023-01,2026-05,High Voltage Import
Data Centre #42,2023-01,2026-05,High Voltage Import
Data Centre #43,2023-01,2026-05,High Voltage Import
Data Centre #44,2023-01,2026-05,High Voltage Import
Data Centre #45,2023-01,2026-05,High Voltage Import
Data Centre #46,2023-01,2026-05,High Voltage Import
Data Centre #47,2023-01,2026-05,High Voltage Import
Data Centre #48,2023-01,2026-05,High Voltage Import
Data Centre #49,2023-01,2026-05,High Voltage Import
Data Centre #5,2023-01,2026-05,High Voltage Import
Data Centre #50,2023-01,2026-05,High Voltage Import
Data Centre #51,2023-01,2026-05,High Voltage Import
Data Centre #52,2023-01,2026-05,High Voltage Import
Data Centre #53,2023-01,2026-05,High Voltage Import
Data Centre #54,2023-01,2026-05,High Voltage Import
Data Centre #55,2023-01,2026-05,High Voltage Import
Data Centre #56,2023-01,2025-12,High Voltage Import
Data Centre #57,2023-01,2026-05,High Voltage Import
Data Centre #58,2023-01,2026-05,High Voltage Import
Data Centre #59,2023-01,2026-05,High Voltage Import
Data Centre #6,2023-01,2026-05,Extra-High Voltage Import
Data Centre #60,2023-01,2026-05,High Voltage Import
Data Centre #61,2023-01,2026-05,High Voltage Import
Data Centre #62,2023-01,2026-05,High Voltage Import
Data Centre #63,2023-01,2026-05,High Voltage Import
Data Centre #64,2023-01,2026-05,High Voltage Import
Data Centre #65,2023-01,2026-05,High Voltage Import
Data Centre #66,2023-01,2026-05,High Voltage Import
Data Centre #67,2023-01,2026-05,High Voltage Import
Data Centre #68,2023-01,2026-05,High Voltage Import
Data Centre #69,2023-01,2026-05,Low Voltage Import
Data Centre #7,2023-01,2026-05,Extra-High Voltage Import
Data Centre #70,2023-01,2026-05,High Voltage Import
Data Centre #71,2023-01,2026-05,High Voltage Import
Data Centre #72,2023-01,2026-01,Low Voltage Import
Data Centre #73,2023-01,2026-05,Low Voltage Import
Data Centre #74,2023-01,2026-05,Low Voltage Import
Data Centre #75,2023-01,2026-05,Low Voltage Import
Data Centre #76,2023-01,2026-05,High Voltage Import
Data Centre #77,2023-01,2026-05,Low Voltage Import
Data Centre #78,2023-01,2026-05,Low Voltage Import
Data Centre #79,2023-01,2026-05,Low Voltage Import
Data Centre #8,2023-01,2026-05,Extra-High Voltage Import
Data Centre #80,2023-01,2026-05,Low Voltage Import
Data Centre #81,2023-01,2026-05,Low Voltage Import
Data Centre #82,2023-01,2026-05,Low Voltage Import
Data Centre #83,2023-01,2026-05,Low Voltage Import
Data Centre #84,2023-01,2026-05,Low Voltage Import
Data Centre #85,2023-01,2026-05,Low Voltage Import
Data Centre #86,2023-01,2026-05,Low Voltage Import
Data Centre #87,2023-01,2026-05,Low Voltage Import
Data Centre #88,2023-01,2025-08,Low Voltage Import
Data Centre #89,2023-01,2026-05,Low Voltage Import
Data Centre #9,2023-01,2026-05,Extra-High Voltage Import
Data Centre #91,2023-01,2025-07,Low Voltage Import
Data Centre #92,2023-01,2026-05,Low Voltage Import
Data Centre #93,2024-05,2026-05,Low Voltage Import
Data Centre #94,2024-11,2026-05,Low Voltage Import
Data Centre #95,2023-01,2026-05,Low Voltage Import
Data Centre #96,2023-01,2026-05,Extra-High Voltage Import
Data Centre #90,2024-10,2025-12,Low Voltage Import
