anonymised_data_centre_name,voltage,dc_type,mean_util,median_util,p95_util,max_util,n_readings
Data Centre #1,Extra-High Voltage Import,Enterprise,0.035545245,0.02118,0.11039539,0.21580283,58222
Data Centre #10,High Voltage Import,Co-located,0.37087888,0.3693785,0.40034786,0.42757276,58222
Data Centre #11,High Voltage Import,Enterprise,0.37180075,0.36641517,0.45027444,0.6545614,58318
Data Centre #12,High Voltage Import,Co-located,0.3559819,0.34356046,0.443588,0.5445057,58270
Data Centre #13,High Voltage Import,Co-located,0.33611137,0.33614212,0.39503512,1.8196754,58222
Data Centre #14,Extra-High Voltage Import,Co-located,0.062558524,4e-05,0.4747093,0.49393943,58318
Data Centre #15,Extra-High Voltage Import,Co-located,0.31219444,0.29360417,0.419836,0.5733874,58174
Data Centre #16,High Voltage Import,Co-located,0.19280213,0.191575,0.213525,0.2395261,58174
Data Centre #17,High Voltage Import,Co-located,0.37431717,0.36695093,0.4433046,0.65074867,58270
Data Centre #18,High Voltage Import,Co-located,0.18821059,0.18630114,0.30208534,0.37391135,58174
Data Centre #19,High Voltage Import,Co-located,0.14691192,0.14475,0.34253553,0.38526803,58222
Data Centre #2,Extra-High Voltage Import,Co-located,0.082646675,0.065855555,0.13769445,0.16055556,58270
Data Centre #20,High Voltage Import,Co-located,0.2253351,0.22289518,0.25547978,0.2683023,58174
Data Centre #21,High Voltage Import,Co-located,0.39740467,0.39658782,0.4366103,0.50268614,58222
Data Centre #22,High Voltage Import,Enterprise,0.2026546,0.185225,0.28192416,0.48694617,58174
Data Centre #23,Extra-High Voltage Import,Enterprise,0.22281519,0.21777502,0.26141414,0.7097843,58222
Data Centre #24,High Voltage Import,Co-located,0.0,0.0,0.0,0.0,58222
Data Centre #25,High Voltage Import,Enterprise,0.42493126,0.430147,0.5147461,0.57483006,58174
Data Centre #26,High Voltage Import,Co-located,0.08120075,0.0762973,0.12702702,0.5291351,58174
Data Centre #27,High Voltage Import,Co-located,0.11229392,0.068453416,0.26117733,0.28248367,57838
Data Centre #28,High Voltage Import,Co-located,0.14995001,0.12633455,0.29720324,0.35675144,58270
Data Centre #29,High Voltage Import,Enterprise,0.18668617,0.16125906,0.41960004,0.5102818,58222
Data Centre #3,Extra-High Voltage Import,Co-located,0.24457814,0.25161833,0.29318017,0.40522334,58270
Data Centre #30,High Voltage Import,Enterprise,0.18081468,0.15726873,0.41574442,0.504138,58270
Data Centre #31,High Voltage Import,Enterprise,0.01234837,0.012642857,0.030892856,0.047214285,54814
Data Centre #32,Extra-High Voltage Import,Co-located,0.018534165,0.0,0.119934596,0.6102882,58030
Data Centre #33,High Voltage Import,Co-located,0.013964334,0.009724608,0.04872,0.32228532,58318
