site,n_months,changepoint_detected,split_month_idx,before_mean,after_mean,jump,cleansed_voltage_level,dc_type,abs_jump,pattern
Data Centre #89,41,True,15.0,0.5761093899385296,0.011529601655189693,-0.5645797882833399,Low Voltage Import,Co-located,0.5645797882833399,went_dark
Data Centre #14,41,True,10.0,0.25503046385846795,0.0004252764243312593,-0.2546051874341367,Extra-High Voltage Import,Co-located,0.2546051874341367,went_dark
Data Centre #56,36,True,10.0,0.24830519355440508,0.007117519527970879,-0.2411876740264342,High Voltage Import,Co-located,0.2411876740264342,went_dark
Data Centre #19,41,True,20.0,0.02716670002657997,0.2677759838769783,0.24060928385039834,High Voltage Import,Co-located,0.24060928385039834,active_shift
Data Centre #82,41,True,10.0,0.010162276665305389,0.23509316756718024,0.22493089090187485,Low Voltage Import,Co-located,0.22493089090187485,appeared
Data Centre #70,41,True,30.0,0.25034530588499415,0.03116774100194419,-0.21917756488304996,High Voltage Import,Co-located,0.21917756488304996,active_shift
Data Centre #80,41,True,10.0,0.2871298140709214,0.0717531952531881,-0.21537661881773332,Low Voltage Import,Enterprise,0.21537661881773332,active_shift
Data Centre #41,41,True,35.0,0.027393319712748346,0.23213361822580156,0.2047402985130532,High Voltage Import,Co-located,0.2047402985130532,active_shift
Data Centre #88,32,True,15.0,0.20696515567459184,0.025939690025027634,-0.1810254656495642,Low Voltage Import,Co-located,0.1810254656495642,active_shift
Data Centre #27,41,True,15.0,0.22388869302021822,0.04451086523561688,-0.17937782778460135,High Voltage Import,Co-located,0.17937782778460135,active_shift
Data Centre #28,41,True,35.0,0.12891769643652914,0.2914351103227958,0.16251741388626664,High Voltage Import,Co-located,0.16251741388626664,active_shift
Data Centre #45,41,True,20.0,0.008497733014735009,0.16650842422494083,0.15801069121020583,High Voltage Import,Co-located,0.15801069121020583,appeared
Data Centre #53,41,True,10.0,0.1595305399386334,0.008099874142325166,-0.15143066579630823,High Voltage Import,Co-located,0.15143066579630823,went_dark
Data Centre #72,37,True,25.0,0.14092106083576236,0.005008479173887403,-0.13591258166187495,Low Voltage Import,Enterprise,0.13591258166187495,small_or_no_change
Data Centre #73,41,True,25.0,0.011075137651640749,0.1353374585478445,0.12426232089620376,Low Voltage Import,Co-located,0.12426232089620376,small_or_no_change
Data Centre #18,41,True,30.0,0.15790231564946638,0.27879489324448126,0.12089257759501487,High Voltage Import,Co-located,0.12089257759501487,small_or_no_change
Data Centre #15,41,True,30.0,0.28376104987186435,0.3985314373234173,0.11477038745155294,Extra-High Voltage Import,Co-located,0.11477038745155294,small_or_no_change
Data Centre #54,41,True,10.0,0.2829401866743143,0.18217417992986518,-0.10076600674444913,High Voltage Import,Co-located,0.10076600674444913,small_or_no_change
Data Centre #8,41,True,35.0,0.028520787597945133,0.11995706450924315,0.09143627691129802,Extra-High Voltage Import,Co-located,0.09143627691129802,small_or_no_change
Data Centre #78,41,True,35.0,0.5641742742908458,0.47462380338438576,-0.08955047090646001,Low Voltage Import,Co-located,0.08955047090646001,small_or_no_change
Data Centre #22,41,True,10.0,0.2685743011674002,0.18044951966345635,-0.08812478150394387,High Voltage Import,Enterprise,0.08812478150394387,small_or_no_change
Data Centre #25,41,True,25.0,0.45819439031147025,0.3701274747011337,-0.08806691561033653,High Voltage Import,Enterprise,0.08806691561033653,small_or_no_change
Data Centre #4,41,True,25.0,0.19968027934699106,0.2745301902527814,0.07484991090579035,High Voltage Import,Co-located,0.07484991090579035,small_or_no_change
Data Centre #11,41,True,10.0,0.4259731146158633,0.3530617508216915,-0.07291136379417179,High Voltage Import,Enterprise,0.07291136379417179,small_or_no_change
Data Centre #47,41,True,20.0,0.2968443679267775,0.36915441457961495,0.07231004665283747,High Voltage Import,Co-located,0.07231004665283747,small_or_no_change
Data Centre #81,41,True,35.0,0.4107266270381049,0.33863832643240527,-0.07208830060569965,Low Voltage Import,Co-located,0.07208830060569965,small_or_no_change
Data Centre #35,41,True,10.0,0.6045471358262361,0.532999482415501,-0.0715476534107351,High Voltage Import,Co-located,0.0715476534107351,small_or_no_change
